CompanyName,ProductName,ProductID,Target
Girlfriend collective,Compressive Legging Long Black,002d988b-2e4d-4d95-b36a-e6026c8f9402,Girlfriend collective Compressive Legging Long Black
Sam Edelman,Women's Jade Two-Piece Platform Sandals,004544a4-0863-46db-aed1-5695f6c14bd9,Sam Edelman Women's Jade Two-Piece Platform Sandals
ABLE,EMMA BLOUSE,00f630f1-3a96-4f37-a652-ca53ecc534d6,ABLE EMMA BLOUSE
Cashmere Duck,Little Pickle Babygrow,0130ce77-ae7b-460f-89c6-9f81624ed9f1,Cashmere Duck Little Pickle Babygrow
A.W.A.K.E Mode,Shoulder Cut-Out Asymmetric Dress,018afe64-56bc-4ec1-9abb-59228ce6b235,A.W.A.K.E Mode Shoulder Cut-Out Asymmetric Dress
Yes And,Giselle Motorcycle Jacket,01ace5f9-38d5-4601-ad3e-2b4041f7edf9,Yes And Giselle Motorcycle Jacket
Ninety Percent,Patchwork V Neck Sweater,01ce021c-72a0-4aed-8f8e-fe443faef4c1,Ninety Percent Patchwork V Neck Sweater
A.W.A.K.E Mode,Striped Knit Cut-Out Dress,01fb0947-c055-4984-b8d1-24ae81a33631,A.W.A.K.E Mode Striped Knit Cut-Out Dress
Allbirds,Men's Wool Runners,02894f02-d885-4e30-a3db-10659cfe2d38,Allbirds Men's Wool Runners
The Sak,Women's Shana Crochet Sandals,02bf628f-04d0-4419-b43a-dfadd11e7551,The Sak Women's Shana Crochet Sandals
JEM + BEA,Jemima Bag,03fa2a35-635d-42b4-acee-bf7e34e14236,JEM + BEA Jemima Bag
Adore Me,Bailey White XL,0450d9cd-c320-4dd9-8f46-e05f48a7cce0,Adore Me Bailey White XL
Babytoly,Folk Vest,048945cd-78ca-43ea-8ac7-9373592af8a7,Babytoly Folk Vest
Lemlem,Zena Plunge Neck Dress,04cc7857-97bf-4325-820f-9035abd77047,Lemlem Zena Plunge Neck Dress
Industrias Fatelares S.A.S.,TOALLA COCOA,05c4e7b5-75d8-4e67-9930-9d5c69c5a17b,Industrias Fatelares S.A.S. TOALLA COCOA
Scotch and Soda,Organic Cotton Color Blocked Hoodie,05c84a18-6260-4cd7-93aa-19722749453c,Scotch and Soda Organic Cotton Color Blocked Hoodie
Gerber Childrenswear,Infant & Toddler Boys Blue Plaid Woven Plaid Shirt,069dd289-0a8f-4b35-befd-7734f23ef691,Gerber Childrenswear Infant & Toddler Boys Blue Plaid Woven Plaid Shirt
"Textile Tech Enterprise Co., Ltd.",Sorona® 2x2 Check - Wicking Finish,074bc071-e81e-4030-b74c-5a74ce4e386a,"Textile Tech Enterprise Co., Ltd. Sorona® 2x2 Check - Wicking Finish"
Beyond Yoga,Featherweight At The Ready Square Neck Midi Dress,08439d41-1cb3-4b1c-87b9-7096740e61b7,Beyond Yoga Featherweight At The Ready Square Neck Midi Dress
Industrias Fatelares S.A.S.,TOJ LIMPION X 2   FON-BLA,08a6f274-c64c-40c7-ae42-d4c7cf90b6b6,Industrias Fatelares S.A.S. TOJ LIMPION X 2   FON-BLA
Nisolo,All-Day Cross Strap Sandal,094b9a78-6958-470d-bcea-e16e97d03202,Nisolo All-Day Cross Strap Sandal
A.W.A.K.E Mode,Shoulder Cut-Out Tank Top,0a0149d9-69f2-466a-a318-2b8af71d91b8,A.W.A.K.E Mode Shoulder Cut-Out Tank Top
Nanushka,Declan Vegan Leather Regular Fit Shirt,0a01a057-77e9-4920-9c4f-3cf49aa7cc95,Nanushka Declan Vegan Leather Regular Fit Shirt
Juicy Chemistry,"Carrot, Rosehip and Neroli Soap",0a09f55e-f954-4de2-984e-159edee1133f,"Juicy Chemistry Carrot, Rosehip and Neroli Soap"
Nike Inc,Nike Sportswear Big Kids' (Girls') 7/8 Joggers,0a2fdf1d-39dd-4e32-96b3-9fc6ca7a2e3b,Nike Inc Nike Sportswear Big Kids' (Girls') 7/8 Joggers
Nanushka,Josia Faux Leather Shirt,0a8e32e8-0d29-4c87-b466-dce8053d8629,Nanushka Josia Faux Leather Shirt
GAP,Gen Good 100% Organic Cotton Original Pocket T-Shirt,0ab6b326-c840-4e01-b775-d213a79e2cd8,GAP Gen Good 100% Organic Cotton Original Pocket T-Shirt
SOKO,Karamu Statement Bangle,0ae5e599-dac8-4a7f-86b9-57e2e10d8aeb,SOKO Karamu Statement Bangle
Paul Smith,Zebra Cotton Tee,0b8e4594-1d03-43ae-8f72-fc5260e840e3,Paul Smith Zebra Cotton Tee
Melissa Obadash,Keri Lace Minidress,0ba5f264-b38d-421d-bb8e-e8ed46ef03d9,Melissa Obadash Keri Lace Minidress
Claudie Pierlot,Tassel Striped Coat,01ad22f5-5d12-4138-b548-873b1554ec6a,Claudie Pierlot Tassel Striped Coat
Planeta Organica,"Almond Oil, 60 ml",02411a43-264d-4e5f-9752-ab27c2d269c1,"Planeta Organica Almond Oil, 60 ml"
Everlane,The Cross-Back Cropped Sweater Top,02a9875c-978b-4c73-9e46-1823538ece40,Everlane The Cross-Back Cropped Sweater Top
